,phases,rankings
191,Al Bi O Ru      ,7.637883698182273
48,Al Mg O Ru      ,8.086946060886675
539,Co Cs O Rb      ,7.028102125345452
470,Bi Co O Rb      ,6.571571502342859
43,Ca Ga Ni O      ,6.903802261820997
426,Cr O Rb Sr      ,8.621493566589086
507,Ba Cs Ni O      ,6.554074376435354
254,Ba Mo O Si      ,10.510788937407897
169,In O Ru Sr      ,8.668617810636274
514,Ba Cs Mn O      ,6.950361081737336
503,Bi Cs O Ru      ,5.9272113165827935
456,Cs Ge Mo O      ,9.608561785335915
195,Al Ba Ni O      ,8.21226662355407
180,Ca Mn Na O      ,6.99438017614325
35,In Mg Mn O      ,7.213976524007605
393,Ba Fe Na O      ,6.849119838716957
229,Fe In O Si      ,9.364088051747435
407,Co Mg O Rb      ,7.541878743379468
401,Fe In K O       ,6.918557250903233
154,Bi Ge Mn O      ,8.193882208822883
316,Ge K Mo O       ,9.978767878064922
37,In Mn O Si      ,9.315358583468093
500,Ca Co Cs O      ,6.007342959147794
188,Mo O Si Sr      ,16.523058218880145
146,Ca Na Ni O      ,6.672484671386614
399,Al Fe K O       ,7.8824732865505664
90,Ga Li Ni O      ,8.097792893896449
167,Ga Mo Na O      ,8.548826752284034
259,Bi Li Mn O      ,7.969470453137947
363,K O Ru Sr       ,9.086493212260235
54,In Mg O Ru      ,6.718545307851009
253,Bi Mn Na O      ,6.76165800539262
323,Ba Cr Li O      ,8.017914912323317
151,In O Sr V       ,8.658034851573145
185,Ca Li Mn O      ,8.167851270069402
234,Ba O Ru Si      ,10.325348676392144
88,Ca Ga O Ru      ,6.79054546186985
378,In O Rb Ru      ,8.0748766146982
408,Co O Rb Si      ,10.599848865453271
273,Al K Ni O       ,8.040210058715608
113,Bi Ge Ni O      ,7.860539257416227
396,Ca O Rb Ru      ,8.116875374333992
96,Ca Cr Ge O      ,8.252961403099219
406,Ca Cr O Rb      ,6.425324465618547
217,Ca Cr Li O      ,7.824015316190043
386,Ga Mo O Rb      ,8.729544325389789
250,Ba Ga Mo O      ,8.75391635836492
482,Al Co Cs O      ,7.461097872766217
385,Al Cr O Rb      ,7.801577181996614
128,Al Li O V       ,9.015320679722645
174,Ge Mo O Sr      ,10.33759914265766
322,Bi Co Li O      ,7.944556198423227
446,Cs Mg O Ru      ,6.783330805489162
375,Ca Ni O Rb      ,7.508659514179575
225,Co In Na O      ,7.147565979625458
447,Cs O Ru Si      ,10.185076027157308
310,Cr Ge K O       ,7.731838236911737
402,Co K O Sr       ,7.891210598408397
256,Bi Co In O      ,6.977368687719228
235,Bi Co Ge O      ,8.367325106805279
245,Ba Cr Mg O      ,6.9454336447918505
95,Li Ni O Si      ,10.729096620289322
462,Ba O Rb Ru      ,8.303939409445967
533,Ba Cs Fe O      ,6.080736963966861
372,Ca Co K O       ,6.479140079651459
232,Al Co O Sr      ,8.58269570984144
327,K Mo O Si       ,10.683835026017443
240,Ba Ge Mo O      ,9.712994833096417
390,Bi Cr K O       ,5.803087843273287
103,In Li Ni O      ,7.7898737239715325
214,Ba Ga O V       ,7.146205869436868
64,Al Cr Ga O      ,8.157074595753988
283,Ga K O V        ,7.043527394140998
530,Cr Cs K O       ,5.8886379661530714
176,Cr In Na O      ,6.385700270951326
81,In Mg Mo O      ,8.551154472595533
452,Fe Mg O Rb      ,7.412408218492974
285,Fe Mg Na O      ,7.198700598663926
279,Ba Ca Cr O      ,6.372821772409081
463,Al Cr Cs O      ,7.110969615919649
65,Ge In Mo O      ,9.941571762813929
517,Co Cs O Sr      ,7.555804789491424
409,Al Co O Rb      ,8.121988618258115
331,Ca Fe Li O      ,8.178730045655247
137,Ga Na O Ru      ,6.86899973114236
145,Al O Sr V       ,9.758145983182406
45,Cr Ge Mg O      ,8.250543229352534
392,Fe Ga K O       ,7.129431099926024
80,Al Ca O V       ,8.12759985125516
454,Al Fe O Rb      ,8.157267680932001
230,Co O Si Sr      ,11.478786209244564
425,Al Cs Ni O      ,7.711287771620263
437,Cs Ge O Ru      ,7.977037466785238
501,Cs Mo Na O      ,8.310538339157153
166,Al Cr Na O      ,7.598822358646926
251,Bi Ca Mo O      ,8.348625278902905
416,Li O Rb Ru      ,9.444846887506165
29,Al Ge O Ru      ,9.111434932077806
28,Ca Ge Ni O      ,8.061601111684778
368,Ga O Rb Ru      ,8.372320434599812
121,Ge Na O Ru      ,8.375452386537031
488,Cs Na O Ru      ,6.570065901683751
110,Co Ga O Si      ,9.62209113434822
74,Ge Na Ni O      ,8.467536872063345
292,K Mg Mn O       ,7.711088213637796
139,Mg Na O Ru      ,6.956985958405197
439,Al Cs O V       ,7.732915871875835
350,Ge O Rb V       ,9.744013629798813
112,Al Co Ga O      ,8.464039139155677
89,Ge Ni O Sr      ,9.552646922312096
142,In Li Mn O      ,8.126115976904627
311,Ca K Ni O       ,6.713059343555493
209,Bi Mo O Si      ,10.208016709768867
391,Ca Mn O Rb      ,7.2141430077871
306,In K Mn O       ,7.052429403043359
282,Al Ba Co O      ,7.8765996590884475
524,Cs K Ni O       ,6.727544723989534
133,Bi Mg Ni O      ,6.645940677404852
221,Ba Ge O Ru      ,8.15537726635586
448,Fe Ga O Rb      ,7.432120741335332
471,Ba Cr O Rb      ,6.660070447206734
148,Bi In Ni O      ,6.441956009569023
357,Mg O Rb V       ,8.555539291243033
212,Co Mg Na O      ,7.331945832550951
465,Cs Mg Mo O      ,8.618521759001512
305,Fe Mg O Sr      ,7.914528547563555
179,Cr Mg O Sr      ,7.36650324304442
397,Ba Fe Li O      ,8.364410859886314
60,Al In O Ru      ,7.920162014335848
469,Cs In Mo O      ,8.472704434457272
321,Cr K O Si       ,8.926185433588316
114,Ga Na O V       ,7.004867171603349
352,Fe Na O Sr      ,7.732525542535748
203,Fe Ge Mg O      ,8.743332069630515
264,Cr Li O Sr      ,8.261820235938067
216,Fe Ga Mg O      ,7.688883460310538
484,Cs Mn Na O      ,7.008284120354097
431,Ba Co K O       ,6.7120041749857515
159,Cr Ga Na O      ,6.613586116850262
190,Bi Ca Ni O      ,6.553068247213998
453,Al Cs O Ru      ,7.610057890458962
536,Cs Mn O Rb      ,7.227624201629829
526,Cs K O V        ,6.752324547742681
443,Fe K O Sr       ,7.767564954744578
511,Cs Fe Ga O      ,7.268366781982755
58,Cr Ge In O      ,8.347878486233778
302,Fe Ga O Sr      ,7.9329934606303025
493,K Mn O Rb       ,7.667023541538443
370,Mg O Rb Ru      ,8.444657824839965
13,Al In Ni O      ,8.01747742958669
173,Al Cr Li O      ,8.988605437227195
