,phases,ranking
3713,Gd Os Si,7.187498
269,Al Rh Th U,8.284739
180,Cu Hg O Sr Y,9.206501
883,Ca Cu O Sr Tl Yb,10.8386345
299,As Ge Mo,9.37132
37,Ga Mo Si,8.419933
2799,Mg Pb,6.487727
3700,Ag Cl,6.1913443
855,As Ba Fe Na,9.218781
2366,Dy Fe Ge,9.337843
918,Co Cr Cu S,8.715639
100,Cu Gd Nd O,9.306562
2978,Dy Pd Sn,8.234181
663,Pb S Te Yb,6.774109
4082,Ni P Zr,9.798793
2898,Nb Pb Sn,7.561922
1166,Gd Mo S,7.689283
5,Li,6.847951
3110,Bi Cd,7.9572086
4027,Bi Ce Cu O Sr Tm,8.488511
616,Cu La O Sr Tb,9.743113
3841,Mg N Nb O,9.304043
3477,Pb Y,7.3449855
487,Ir Si U,7.654358
1163,Cs Cu La O,9.146203
1487,Co Rh U,8.425834
4012,Na S Sb Ta,8.864653
4138,Eu Ga Sn,7.545013
873,B Mo Ta,7.599807
192,Rh W,7.03606
446,Cu Ho O Pb Sr,8.142292
1774,Cu Ir Se,7.8717847
3435,Ca Tl,8.939209
1906,Tc Th,4.5751543
2344,S V,6.7185116
15,B Ni Y,9.568555
669,Ba Cu H O Y,10.38307
1122,Au Pt Te,7.346139
462,Ba Cu Dy O Zn,8.476122
1106,Ir Pt,7.1617126
2647,Ca Cu Dy O Sr Tl,10.48939
828,Ba Cu O Sn Sr Y,10.708499
1767,Sb Tl,6.1509438
71,Ga Si Sr,7.442624
857,Dy Rh Si,7.4517145
897,Nb S,7.088459
1108,Ce Cu Si,8.084312
3296,Ba Bi O,9.551475
2308,Ge N,7.4500465
4177,Re Tb,7.7229266
2618,Cu O Sr Tl Yb,10.590591
2934,As Fe La O Sb,9.60626
1847,Ba Cu O S Sr Y,9.891464
1308,Cs S Ta,8.450448
1738,C Cs,5.4762697
3197,Cu Li O Sr Y,10.611979
3488,Fe Nd O P,10.115974
3457,Cd Sn,7.116015
3995,Ca Cu O Sr Y,9.575384
2119,Ni Pd Te,10.643879
1416,B Be Mg,8.655335
2242,Gd Mo Se,6.5282984
1324,Al Co Fe,9.164977
3599,Cd Mn,6.675331
1356,La Mo Se,6.1542273
565,Bi Ca Ce Cu La O,8.676762
3544,Er Fe Ge,9.983376
2369,Na Pb Te Tl,5.9791636
102,B Pr Rh Ru,8.773439
2575,As Ba F Fe Nd O,9.609696
3641,Cu O Pr Re Y,10.081423
1582,Os Pr Sb,4.8189306
1046,Mo Te Tl,5.1868887
1859,C N Ta,7.3345227
2585,Au Si Sr,7.13169
2271,Pd Ru,7.8512063
2111,Ir O Y,9.262284
1162,La O Sr Ti,9.902067
1173,La Rh Sb,5.8778777
15,Ba Ca Cu O Y,9.503365
1404,Ge In Sn Te,9.104815
2455,Ba Cu La Nb O,8.95996
166,Ca Cd Cu Ga O Sr Y,10.131209
2164,Al Pt,8.728187
661,B Hf Nb,5.819961
179,Ba Cu Hg O Sr Y,9.826704
2697,C Cr Ga,7.88035
4203,Al C,8.156781
2456,Li Nb S,9.011738
1492,Cr Ti,6.7706637
2756,Ce Co,7.521719
2859,Al Pd Th U,9.905406
877,Al Cu La O Sr,11.030649
74,Fe S Se,8.596822
1148,Al Mg,8.443763
3694,Pd Sb Se,7.174837
1844,In Th,7.7531114
2444,N Y,7.0225983
3515,As Ca Pd,10.561981
46,Bi Cu O Pr Sr,8.911722
1427,Pb Sn,7.1004605
3801,Al Si Sr,9.45104
862,Ba Na Si,5.021611
207,C Cl I La,8.536642
2081,Li Mg O Ti,10.096289
3188,Ce Hg In Ir,7.4449916
3261,Ba Bi Ca Cu O Pb Sr Tl,10.893758
4087,Sc Tc,5.3373914
1289,Nb Sn Ta V,9.660797
3507,O U,9.2358265
312,Al Au Pd Sc,10.047364
305,B C Ni Sc Y,10.528714
1052,C K Rb,7.8067684
1340,Ba Cu Dy Fe O Sr,9.497328
3248,Cu F Nd O Sr,11.347149
2498,P W,5.61958
505,Ag In Te,7.1566567
1095,Ba Cu Er O Zn,9.043185
1263,Fe Pd Sb,8.877725
893,Be Cr,5.7637877
1527,Pd Sr,9.655689
3918,B Ir Lu Rh,7.8816824
2801,P Rh Ta,8.242701
2599,Co Ge Pd Sr,9.455811
4171,Ce Cu Sb,6.2173185
1725,As Fe Ir La O,11.099455
476,Cu Fe Se Te,6.1709166
1728,Br Ca Cu Na O,8.457496
2237,Gd Sn,6.8224335
61,Li Mn O Ti,10.53211
2774,Ge Pt Sr,8.475264
287,Ba Ga P,8.391266
3775,Bi Sr,7.469704
128,Ir Rh Zr,8.197094
532,Mo Nb S Sn,8.191808
3084,Pd Rh Ti,9.275568
1566,Au Lu,7.8679767
1972,La Sm,6.957343
3020,Bi Cr,7.817307
154,Hg Mo S,8.336005
1932,C Mo V,7.7034354
1760,Cd O,9.646742
308,Ag Al B Mg,9.665252
2201,Te Th,5.0205293
2968,Gd Ir Si,7.973784
121,Mo Nb Sn,7.4510636
249,C Nb Zr,7.3714175
3913,Ag Al Th,7.4198303
1834,B C Ho Ni,10.481972
492,Fe Ru Si U,8.67054
3719,Cu Nd O Y,9.754157
1659,Fe Ti,7.724467
3054,Br Li N Zr,9.46338
3209,B Ca Pd,10.692575
2088,Pb Sn Te,7.45539
3523,Cl N Ti,8.753969
1274,B Tm Y,8.250247
2891,Ba Ca Cu Hg O Ti,9.716131
2577,Fe Mn Se,6.808859
2465,O Rh,9.808042
2658,Ge Os Y,7.8730702
2737,Cu Eu O Th,7.6647844
2802,B C Pd Th,9.338618
3729,Al La Rh,9.379421
141,Ce Cu Hg O Sm Sr W,8.68882
305,Br C La Lu,7.3344035
176,Nb Zr,3.8825557
1131,As F Fe O Sm Te,10.470248
1056,Ba K O,9.119777
3748,In Zr,6.719886
1645,As F Fe Mn O Sm,10.421668
1111,Mo Ti V,7.9498158
3412,Se,5.35303
212,Ba Bi O Sb Ti,9.646814
231,Cd Cu La O Sr,10.718959
4179,Ba Ge In,7.0413265
720,Nb Pt Rh,7.313501
2609,Pd U,6.9594893
4077,Ba La Ni O,10.007987
1391,Ni Se Tl,8.840529
3781,Ba Cu O Tl Y,9.330413
4133,Ge Pd Yb,8.720349
2796,Nb P Se,5.6774554
2901,B Lu Rh Th,8.096287
3180,Ir Lu Si Yb,8.311346
210,Bi Cd Cu O Sr Y,8.852281
1697,As Ca Fe La Pt,11.140927
3421,Bi Cs Te,7.9836154
288,B C Co Ni Y,10.431769
1905,Si Th,7.0250263
99,Al Nb Si V,9.5921335
864,Th U,4.626482
3614,Bi Ca Cu Gd O,8.671882
3575,As Fe O Y,10.626073
357,Ir Lu Si Tm,7.6135836
593,Ba Ca Co Cu La O,9.812008
4058,Nb Os Pt,5.744297
1017,B C Ho La Ni,10.545785
2439,Cu Mn O S Sr,10.442114
4126,Na O Re,10.438663
275,Ba N Zr,8.449961
467,Ca Cu Dy Ga O Sr,9.440308
379,Al Nb,8.079828
3638,B Ru Sc,6.8042374
66,Ni Tb,9.374844
1079,As Cr Fe O Sr,10.605078
921,Ba Ca Cu O Pr Y,9.008542
3132,Gd Pb Pd,6.7120905
2617,C V Zr,8.894098
2650,Co In La Sn,9.701081
3669,Al Pd Y Zr,10.314065
2648,In Pb Sn,8.952122
772,B C Er Fe Ni,10.005327
3255,P Sn,7.882187
3690,Ag Pb Sn,7.325561
2714,Hf Ir Si,6.848067
3250,Mg Mo S,7.525613
3702,Bi Ce Cu O Sr Y,8.490037
956,Ce Cu O Pr Y,9.0902815
3997,In K Mo Se,7.0905786
88,In Mo S,8.679693
2654,Ga Si Yb,8.379093
234,Ag Mo S Sn,7.8614607
2601,Fe O P Sc Sr,8.831741
2319,Ba Ca Cu Hg O Re,9.139576
1677,Ce Cu O Ru Sr Y,9.193258
67,Ge Ti V,8.411087
1383,C H K N,9.558027
36,B Ni Sc,9.853291
2862,Ba Cu O Sn Y,10.028578
1848,Au In Yb,8.84922
1961,La P,5.7025247
3039,In U,7.142075
68,Cu La O Sm Sr,9.762558
387,Pd Zr,7.9184527
1850,Dy La,5.227167
770,Ti V,8.319666
740,B Co Gd,9.230788
301,Er Rh Sn,7.7624326
381,Al Ba Cu O Pr Sr Y,11.189905
4106,Hg O Os,9.5288725
163,B Er Ho Rh,6.4698935
531,Mo S Sn Zr,8.378267
3311,Co H Mn Na O,10.723918
1623,Ba Cu Dy O Pr,6.711509
4046,B Mo Sc,6.5523987
4092,Ru Si Ta,6.787224
24,Al Nb Pd Zr,10.467447
3013,Be Nb Ta,7.9344754
3731,Ca Rh,7.7116127
3343,Ag Cu,7.418289
1397,Al Ta,7.8473964
844,Be Mn,7.42341
1007,B Ru Tb Th,7.2332892
2151,Bi Ca Cu Lu O Sr,9.983024
155,As F Fe La O Ru,10.415478
185,Cd Ce Cu Gd O Pb Sr,7.054169
195,La Pt Sn,7.985993
933,Ga Ge V,8.463323
3979,Au Mg Pt Si,7.6800694
351,Ba Cu La Nd O,9.141168
1872,B Cu Nd O Sr,9.858182
431,Dy Mo Se,6.5608454
3001,Ba Bi O Rb,10.873286
1572,Bi Cd Sn,8.154047
3820,Ba Ir P,7.669585
25,Ac,5.7875433
438,Bi Cd Ce Cu Gd O Sr,7.7470427
1310,Gd Ru Y,6.86186
62,La Nb O Sr,9.68118
3920,La Zn,7.379352
1157,Cu Eu La O Ru Sr,10.311243
2535,Ga Ge U,8.839188
2882,Eu Mo S,7.735423
890,Al Ce Pd,9.451424
453,B La N Ni,10.234615
659,Al Os,7.6151824
1034,Cu Gd O Sr,7.7716427
2659,Ca Cu O Pb Sr Tm,9.427193
2446,Co Si U,7.874172
1595,Ba Ca Cu Gd O Tl,9.905103
4063,Bi V,5.5587783
3347,Ir Si Zr,7.18776
558,Nb Pd,7.325561
368,Bi Ca Cu Gd O Sr,9.547642
4079,Ca Cu Eu O Sr Tl,10.678675
2826,B C Ce Pt,8.287426
589,Ba Ca Cu Fe La Nd O,9.625882
29,Cu La Mn O Sr,10.284609
2173,Ir Nb Si,7.0494165
959,Rh Sn Th,8.446387
2423,La Tl,7.7510543
2046,Bi Ga Nb Sn,9.184947
458,Mo S Sn Sr,8.019677
3805,Ba Cu Ge O Sr Y,10.128038
1119,As Dy Fe O,10.831673
3125,Ir Mo Nb,3.9325805
2707,Bi La O S,10.492336
2106,Al Hf Pd Y,10.344559
3600,Cu F O Sm Sr,11.340804
3495,Na O Sb Ti,9.925815
3777,Co Ga Ni Pu,9.545729
2493,Zn,6.64061
3463,Ce,5.6295977
3615,Zr,4.6835866
2881,As Mo,7.0608454
3494,Os U,3.8766162
2854,Os Si Ti,6.397399
161,La Os P Ru,8.442487
2642,Ga Nb Se,6.63415
3166,Nb Pt Zr,6.3740234
335,Ca Cu Ga La O Sr,10.568262
304,Ba Cu O Tm,7.727822
2529,La Ru Zn,6.5008755
3113,Ho Te,5.020864
3678,Bi Pt Y,7.7998238
1026,Nb Tc,4.7634377
3010,Sn,6.9830203
455,Mo Pb S U,7.6784487
378,Ce Cu Dy Nd O Pb Sr,8.669726
2094,Ce Cu Dy Mo O Sr,8.505659
3502,Bi Cu Er O Sr,8.20549
3288,Cr Cu O Sr,9.609252
209,Ba Ca Cu La Nd O Sr,11.399013
2993,Fe Ho Si,8.404828
3855,Rh Ti Zr,8.585122
3730,Cu F La O Sr,11.454235
2176,Ag In,7.88559
437,B Ho Rh Y,8.73161
272,Al Np Pd U,9.682123
525,Rh S Se,7.683452
1038,La Ni Pt Si,9.586163
2207,Bi F La O Se,10.491196
449,As Ce Fe H O,10.296536
1968,As Fe La O Sr,9.795623
342,Ge Ir Sr,6.7695327
2852,Co Mo Re,9.496675
3776,S Tl,7.611064
1488,Cr Rh,8.311184
47,Bi Ca Cu O Sr Y,9.46944
668,Bi Pb Sn,8.044902
1546,As Pb,7.776024
768,Ca Cu Ho O Sr Tl,10.405618
3924,B Ru Sm Th,7.2716956
821,Ba Ca Cu O Tl Y,9.58916
403,Ce Cu O Rh Ru Sm Sr,9.650716
518,Fe Lu Ni Si,10.149829
2886,Ca Pt Si,7.8882246
3831,Co Mo O S,10.025537
566,Bi Ca Cu Gd La O,8.441058
491,Mo Na Se,6.3757634
3890,Ge Sn,8.001544
2051,B C Li Mg,8.533435
2922,Ce Cu Mo O Sr Yb,7.974032
310,La Li Si,8.575629
3153,Al Mo,6.6659784
2058,Co Fe Se Te,7.574386
667,P Pb,5.389673
3504,As Fe Rb Sr,11.182373
2371,Ce P Pd,6.3777394
3921,B Ca Cu N O Sr,10.302051
3959,B Er,7.2084274
217,As Ce F Fe O Y,10.133761
4086,B Ca Ir,8.351499
4159,B La P Ru,7.108048
4056,Co Ta Zr,8.520966
2871,Hf Nb Ta Ti,9.471284
3167,Mo Nb Te,4.763475
1102,Ho Os Si,7.3350196
279,C Cu Hg Mo O Sr,8.937912
2552,Er Ru Si,7.5108905
3876,As Ba Rh,8.3431225
602,Ca Co H Na O,10.770481
1233,B Ba Pt,9.313559
2627,In La Tl,8.620895
4134,Re Th,7.5896845
4015,Ca P Ru,5.1551714
4022,Eu,5.095605
1060,Os Si Zr,7.2601566
3949,Ba Ca Cu Nd O Ti,10.290834
3206,Cs S V,7.2862625
4186,Au Sc,5.992278
139,Pd Sn Tm Y,9.070431
7,Re W,8.913323
2597,Cu O Pr Sr Tl,10.225136
1514,B Co Mg,9.130837
546,As Nb Sn Tl,10.175223
2063,Pd Si Th,7.6627755
1799,B Ta W,6.652294
458,As Ca Fe Pt,10.832391
744,B C Mg,8.350972
1667,C Mg Ni Zn,10.181507
3601,C Pd,6.2743044
2998,Nb S Sn,7.6972733
123,As Fe H La O,9.588704
930,Co Si,7.8002224
4034,Ir Sn Yb,7.068428
1778,Au V,6.427569
3325,As Cr,7.087551
2110,B Mg Ti,8.766548
632,S Ta,7.303965
364,N Pr,6.335037
1184,Ge Sn V,8.983603
2169,Ga Mn Mo,8.102457
3269,C Cu O Pb Sr Tl,9.78936
1695,Ce In Pd,9.740866
1436,Mn Si,7.3196516
3581,B C Mo W,8.53084
713,Cl Hf Li N,9.925617
199,Pd Se,6.3802147
1621,C Mo Zr,8.031967
3617,B Nb Ti,7.4714174
2715,C Cd Ti,7.0348544
1519,Ca Cu Hg Nd O Sr V,10.352516
1532,Cu Dy F La O,10.705461
1040,Nb Re,8.711149
314,As F Fe La Mn O Y,10.317831
515,Cr Fe Lu Si,9.277937
1440,Ca Cl Cu Er O,9.4063835
759,Au K,6.573668
1236,Nb Pd Rh,9.134277
1261,Bi Ca Cu Nd O Pb S Sr,10.800382
989,Co Ti,7.4891396
300,C Ho Th,6.079632
728,P V,7.2707386
3811,P Pd Yb,7.659204
736,Ce Cu Eu La O,7.812399
1827,Ca Cu Ge O Sr Y,10.201365
3427,Ca Zn,8.810338
50,Ba Cu Fe Nd O Sr,10.195305
3289,Al Yb,8.45369
619,Bi Ca Cu O Pb Sr Y Zn,10.565881
682,Al Pd U Y,9.167642
3965,Cs I,7.351812
3818,Ca Cu O Pb Sr Tb,9.28845
27,Ba Co Cu O Y,9.112191
3892,Bi Ni Tb,9.003408
2789,Cs Fe Se Tl,8.34103
1994,B Ho Ir,7.4421687
820,K Tl,6.882549
75,Ce In Rh Sn,9.254778
1470,Ce Cu O Pr,8.83359
2261,In Pb Te Tl,7.266566
1129,C Lu Th,5.966693
3917,Ba Ce Cu O,6.6305966
2611,Br Cu O Pb Sr,9.154713
2560,B Rh Sr,9.303923
2972,B Nd Y,8.542024
3017,Ce Rh Sn,7.8959746
4188,Ba Cu In O Y,9.374506
925,Ir Li Si,8.029684
968,C Th Y,7.88696
854,Ca Cu O Sr Tl Y,10.321223
588,Cu Gd O Ru Sr Ta,9.481577
3472,C Ca H,9.118866
1313,Bi Cu O Sr Y,8.719317
4089,La O Sr,8.648174
803,Ba Ca Cu Fe La O Y,9.434878
1536,As F Fe O Sm,10.356302
360,In O W,9.870178
2606,Ir Zn,6.913943
3830,Cr Si V,7.1022105
2118,Hg Na,6.224898
591,Cd Sb,6.184443
4103,Nd Rh Si,7.9985275
583,Bi Cu O Pb Sr Y,8.799417
3857,In O,9.940692
607,Ba Cu O Sc Y,8.554783
1772,La Pd Si,8.15352
485,Cl Eu H N Zr,9.518758
815,Ca Cu Er O Pb Sr,8.837717
280,C Cr Cu Hg O Sr,9.723724
3879,Cr Cu Fe O,9.532838
1584,Bi Te,6.4196258
1919,Ba O Sb Ti,9.233463
1602,B Gd Ir,7.8904
1761,As Ca Eu Fe,10.583931
853,C Mn,7.5077486
1342,Ce Cu Eu O Y,8.819729
3221,As Ba Fe O Ti,9.912491
57,Cu La Nd O Sr,9.683311
1165,C Fe Tm,7.226502
3305,Ba Cl Cu O Y,9.448329
597,Sb Ta,7.415099
80,Ga Ni U,8.992249
3865,B Ba,8.332639
3155,B C Hf Mo,8.263442
4011,Ce Cu Mo O Sm Sr,7.753383
2215,Ca Li Nb O Rb,11.311848
3022,Cu Rh Se,6.9743443
481,Nb Se Te,6.336649
895,Cu Se Ti,8.410813
320,As Ca Fe La P,10.624233
405,Bi Ca Cu O Pb Sm Sr,9.575181
3836,Lu Ru,4.769455
158,As F Fe La O,10.145466
805,B Co Sm,8.593692
3939,B Rh Sc Th,7.707632
285,Pd Si Y,8.173012
194,Ba C Cu O Sr,10.691791
874,Cu La O Ru Sr,10.3789015
2923,Mg Sn,8.640479
2584,As Fe Gd La O Sr,10.266466
2887,Fe Sn,8.3073635
2721,Ba Cu Er Fe O Sr,10.022748
2843,Ce Cu Er Mo O Sr,8.593697
850,B Ho Ru Th,6.449552
1372,Ce La Sn,4.9306355
2345,Ni Th,8.5464
1664,Os Zr,6.188907
1613,Ba Cu La O Y Zn,10.274825
1468,B Rh Y,9.204313
2347,La Pb Sb,5.521046
284,Ca Cu La O Pb Sr,9.911339
2838,C S Ta,8.364225
280,Ir Nb Ta,6.5239396
830,C Mo Ti,6.6482267
2049,C Hf,4.1918864
2962,Cu Fe,6.4630103
1997,Nb P,5.28797
1083,As Co Fe O Pr,11.510022
733,Ba Cu O Y Yb,8.415732
469,B C Er Ni Y,10.540422
3040,Mo Se Sr,6.7272687
1960,As Fe O Tb,10.836591
1220,Ba Cu Gd O Sr,10.146594
3487,Bi La Sn,7.362811
2255,Ca P Pt,7.659258
3758,Bi Ca Cu Eu O,8.953731
2768,As Ca Fe H,9.325464
996,P Ru Y,6.9293966
507,Ba La O Pb,7.7433276
3229,B C Gd Re,8.797723
2469,La,5.6652017
1171,As Ca Fe O Sr V,11.237997
3212,La Ni,9.59132
478,Ba Ca Cu La O Pr,9.658212
3821,Ho Ru Si,6.667496
806,Ba Cu O Pr Sr Yb,10.432032
3418,Al Pd Pu,9.548539
369,C Ta,6.7207785
1709,Co V Zr,8.943782
3018,As Fe,9.58153
3234,B C Ni Yb,10.879987
1589,Ge La Pd Ru,8.032604
436,Hg Tl,5.87496
2693,B Re,9.2734165
814,Ce Cu Eu O Ru Sr,8.557763
3394,B Er Y,8.337893
448,H Th Y,8.725535
636,Se Ti,5.3349996
406,Ce Cu Eu Mo O Ru Sr,8.798735
1474,Si Ta,6.9145985
1876,As Co Fe K,11.004121
866,Ba Ca Cu Er Hf O,9.885255
917,Ba Ce Cu Eu O,6.5858874
3012,Th,4.62239
3664,Ir Lu Si Y,7.527904
3440,C Cu Hg O Pb Sr,8.902902
2579,Co Fe Se,7.433282
2947,Co Er Sn,8.106574
613,As Eu Fe K,9.849247
233,Bi Mo S Sn,7.8714924
401,Na O Os,9.118725
3112,B C Lu Pd,8.7759075
2311,B Mg Nb,8.488356
3386,Co Sc Si,6.662756
3779,Rh Sb,6.873164
1735,Nb Te,4.091416
539,Mo S Sn V,8.275576
2889,Fe Rb S Se,9.691162
3625,Nd Ru Sb,5.440439
2316,As Co Fe O Pr Sr,11.275008
984,Nb Sb Sn,8.251291
889,Fe Se Sr,6.749531
2368,Pd Sn Tm,8.93082
3124,Hf V Y,7.4785504
3628,Th Tm,4.318853
434,Ba Ca Co Cu O Tl Y,10.053806
72,Mo S Se Tl,7.435045
2572,Cu La O Pb,7.2630963
434,Ca Cu O Pr Sr,9.478776
1307,Lu Tc,5.782506
1606,Bi Ce F Nd O S,10.767457
1296,F Fe Nd O P,10.360067
2867,Ba Cl Cu Li O,10.616949
1788,B Lu Ru Tb,7.423938
1294,Ni Pd Sb,9.934269
233,Cd Mg,6.440907
30,B C Ho Ni Y,10.298052
2950,Cu Li O Ti,9.310305
1345,Fe Hf,6.9866467
1183,Bi Cu O S,10.029697
1818,Pr Th,5.903606
1432,Al Mo Pd,8.913284
680,As Fe La O,10.625072
1555,C Th,6.020544
587,Lu Mo S,7.8321776
223,Cu La O Pb Sr Zn,10.251517
1779,As Fe La Mn O,9.680649
561,Cu F O Pr Sr,11.0590105
2027,Ce Cu O Sr Ti Y,9.3940935
2604,Cd Ga V,8.675392
3902,Cu Na S,6.8908296
2306,Ge Rh U,8.416277
1408,As Fe Ir Sr,9.157892
681,Bi Cu O Sr Yb,8.757717
374,Ru V,6.6865315
16,Co Sn Zr,8.96255
2187,Pb Th,4.583674
2358,Pu,4.8437686
3992,P Ru Ta,7.498684
2402,Ce Cu Gd O,8.50806
2307,Hf Tc,5.171906
1109,B Mo,7.3298354
1352,Bi Ce Pb Te,6.7381854
3914,Nb Si Zr,6.359617
2204,Al Cr,7.051815
1205,Fe Se,6.8428435
2188,Ba Ca Ce Cu F Fe O Tl,10.696119
2783,Au Zr,5.159994
576,Cu In O Pb Sr Y,10.051467
3896,B Ir Yb,8.128656
2759,Ce In Ir,7.2418947
29,Co Ni Y,7.9637823
4166,As Ca Fe La Pd,11.147636
2987,Re Ti,8.53306
2844,Ce Ru Sn,7.204228
1177,Eu Nb O Sr,9.904433
2635,B Pr Y,8.956464
1963,Ca Cu F Nd O Sr,10.883316
3177,Au Ca,8.48108
202,Ba Cu Hg O Zn,9.07096
2800,B Eu Y,8.557174
4201,Te Tl,6.43691
3157,Mo Se Yb,6.6317725
561,Cu Mg Sb,7.368374
1742,C Mo Re,7.6741877
289,P S Tl V,9.063763
1987,Bi Ni,8.614287
100,Pd S,7.5206766
1727,Ba Ca Ce Cu La O,9.273633
1593,Au Be,4.3898954
3589,Al C Cr Nb,8.835376
2497,Cd O Re,10.548176
2335,Ru Si V,7.6883397
3280,Li Zn,8.000278
218,Ca,6.938057
246,Ba Ce Cu Nd O,8.280659
380,O Sr V,9.423348
1078,U,4.8436856
1662,Ba Ca Cu La O Pr Sr,10.643249
1751,As Fe O Pr,11.384766
191,Nb Ti,6.7820034
382,Cu Fe La Ni O Sr,10.49413
2776,La Sb Y,6.724579
415,Br,4.470566
3973,Bi Ca Cu Nd O,10.071855
2018,Mo Na S,7.9485717
3838,O Sr Ti,8.708247
317,Al As Ca Fe O P,9.973311
1118,Mo S,7.212895
520,Ce Cu Nd O Y,9.336934
1803,B C Ni U,10.325326
1718,Ca Ce Cu Nd O,9.496358
3573,Na Si,7.429298
3577,Hg Mn,6.4949303
2404,Bi Gd Ni,8.962693
2163,Bi C Y,8.429281
722,Ge Nb,8.02715
571,Bi Ca Cu Er La O,8.770181
345,B C Eu Mg,8.714942
915,Dy Pb Pd,5.6982746
21,N O V,8.600807
3466,C Os W,6.008528
1341,K Mo S,7.9842963
568,Mn Rh Ti,8.103126
2915,Ge Pr Pt,8.800856
1101,Lu Rh,6.993547
2182,Pb Zn,6.1282134
2262,C Pt U,5.1328797
241,As F Hg,9.037041
361,Ca Cu O Sr,9.731552
373,Fe Se Ta,7.1162596
3819,K,5.1249204
502,Ce Mo Pb S,7.199668
512,Ge Rh Ru U,7.984942
3218,Ba Cu Lu O Sr,10.116887
1632,B Dy Ru,6.6620393
3337,As Ca Fe Pr Sb,10.46492
3369,Co Ge Sr,8.366304
3634,Co In La,8.040431
3085,Mo Na O,10.282119
308,As Ba Co Fe K,9.984909
608,Bi C Cu I O Sr,8.56398
3063,Cu O Y Zn,9.2387905
3681,H Na O S Sn Ta,10.605368
3749,Bi Cu O Pb Pr Sr,8.316971
2324,As Fe Gd H O,9.810863
267,Ba Ca Cu Gd In La O Sr,10.827365
3335,Ce Ga,7.044749
3930,Ge Sb,7.63405
4045,C Ir Lu Si,6.899715
3971,N Sc,5.2344823
3721,As La O Rh,10.146373
3192,Ni Sn,9.175037
2702,N Nb Zr,7.311461
294,Gd La Ru Si,6.397787
1873,Be Lu,5.023137
1384,B C Ni Ru Y,10.57346
3782,Cu Ho Mo O Sr,8.682291
1542,Be Os,5.6164937
2407,Ni Sn Ti,9.87261
42,Mo S Se Sn,7.9808226
2125,Ba Ca Cu Hg O V,9.797729
334,As Ca Co Fe La,11.139058
2772,Ge Lu Sn,8.30213
3952,Te Y,6.2162795
2502,As Nb Si,8.863535
950,Gd Pd Sn Y,8.6623955
281,Bi Cd Ce Cu Nd O Sr,8.599717
2916,In O Zn,9.767655
1286,As F Fe Nd O,10.334657
1449,Ce Gd Ru,5.0068407
3029,N Zr,6.0286775
489,As Co Fe La O Zn,11.3312845
3891,Ba Cu Fe Nd O,9.085045
1633,In Pd,9.266206
1428,Ga Nb Ni Zr,10.419122
1067,As Ca Co Fe H,9.75157
184,Cd Ce Cu Dy O Pb Sr,7.086859
860,C Ca,6.0550375
3935,Ni Ru,8.558293
3130,Cu La O Rb,9.620768
1433,Ce Cu Ho Mo O Sr,8.658632
4101,B Dy Ru Th,6.4695992
4129,As Ni O Pr,10.928088
1650,Cl Hf Li N Zr,10.22385
2017,C Re W,7.295767
1829,F Fe La O P,10.117033
1132,C Fe Mg Ni,8.866183
3583,La Pr Ru,6.3474836
1675,Ce Cu Eu O,7.8859677
1858,Sn U,6.348792
389,Ba Ca Cu La O Y,9.426722
525,Bi Ca Cu O Pb Sr Y,9.30769
196,Ba Cu Ni O Y,9.841453
628,B Ce Co,8.826974
2317,As Cr Rb,9.528296
1399,Cu Mn Zr,8.45621
867,Fe S Te,8.999282
216,Ba Ca Cu Eu La O,9.689513
1884,Ce In La,7.005268
1648,Ge Rh,7.8794575
2463,Pt U,6.001242
3107,Nb,4.744383
2241,As Fe Mn Sr,9.248425
149,Fe La O Sr,9.81566
3062,Ni Si Ti,9.435576
4091,Bi Co O Pb Sr,10.721342
3438,F K Li O W,10.615773
531,Cs,6.753349
3778,Mo Rh Te,6.794464
496,Ce Co In Y,10.215663
1189,Bi Na,7.79807
941,C Mg Ni,8.556756
152,Hf N Sr,8.968657
1152,Ru Sc,3.3541262
2624,C O W,9.144367
3531,Ca Cu Hg Nd O Pb Sr,9.394556
1864,P Ru Sm,5.980991
2293,Ir Sc Sn,5.878143
294,Pd Te,6.8150105
2531,La Pb Tl,6.7829423
886,Cr Cu O,8.187822
2216,As Fe Ni Sr,10.470127
972,N Nb O,8.66568
3358,Al B Mo,8.071947
1815,Al Ge Na,8.042067
242,Mo N Nb,6.3307652
2753,O Tb W,9.337827
1587,Ba Ca Cu F O,10.76728
49,Ga Sn,8.142849
901,Ce Te,5.418735
3203,N Se,5.6444693
3411,Ge Ho Ru,6.0927863
1616,Cr Re,8.839215
725,Cu S,8.013198
1330,Be Fe,6.2320604
1917,Ce Rh,7.085943
523,B Rh U Y,8.960649
3953,Au Ge,9.486168
3136,As Cu Sb,7.8730373
1789,C Ge V,7.5405726
2785,C Ta W,6.799119
453,Lu Mo Pb S,7.8337245
2594,C Zr,7.2648954
1381,Dy Ir Sc Si,6.613151
3426,Ce Ir,5.752271
265,Ba Ca Cu O Pb Tl,9.952316
144,Ce Cu Hg Ho O Sr W,7.9512987
359,K Rb,8.665947
3651,Cd,7.146535
4168,Ir Sc Si,6.5772934
362,Be Ge,6.1881714
3314,Sb Te,5.3328047
600,Al La Si,8.155665
1212,Ba Ca Si,7.3628135
2616,C La Th,6.692069
534,Pd Pt U,8.3776
1128,Rh Ta Ti,8.567341
